21:51:15.141 [RMI TCP Connection(11)-127.0.0.1] INFO  c.a.n.client.naming - [deregisterService,194] - [DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@com-dualwings-sales with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.204.1","ipDeleteTimeout":30000,"metadata":{},"port":8081,"weight":1.0}
21:51:15.144 [RMI TCP Connection(11)-127.0.0.1] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,93] - De-registration finished.
21:51:15.146 [RMI TCP Connection(11)-127.0.0.1] INFO  c.a.d.p.DruidDataSource - [close,1885] - {dataSource-0} closing ...
21:51:15.147 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8081"]
21:51:15.562 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
21:51:15.569 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8081"]
21:51:15.570 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8081"]
21:52:02.600 [restartedMain] INFO  c.d.s.Application - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
21:52:03.777 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8081"]
21:52:03.777 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
21:52:03.777 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.29]
21:52:03.901 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
21:52:07.260 [restartedMain] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
21:52:07.265 [restartedMain] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
21:52:10.897 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:52:10.967 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8081"]
21:52:11.078 [restartedMain] INFO  c.a.c.n.r.NacosServiceRegistry - [register,62] - nacos registry, com-dualwings-sales 192.168.204.1:8081 register finished
21:52:12.735 [restartedMain] INFO  c.d.s.Application - [logStarted,61] - Started Application in 13.897 seconds (JVM running for 15.022)
21:52:42.749 [Thread-13] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,74] - De-registering from Nacos Server now...
21:52:42.754 [Thread-13] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,93] - De-registration finished.
21:52:42.756 [Thread-13] INFO  c.a.d.p.DruidDataSource - [close,1885] - {dataSource-0} closing ...
21:52:46.548 [restartedMain] INFO  c.d.s.Application - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
21:52:46.996 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8081"]
21:52:46.996 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
21:52:46.997 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.29]
21:52:47.025 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
21:52:48.701 [restartedMain] INFO  c.a.n.client.naming - [call,56] - initializer namespace from System Property :null
21:52:48.702 [restartedMain] INFO  c.a.n.client.naming - [call,65] - initializer namespace from System Environment :null
21:52:48.702 [restartedMain] INFO  c.a.n.client.naming - [call,75] - initializer namespace from System Property :null
21:52:49.150 [restartedMain] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
21:52:52.457 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8081"]
21:52:52.460 [restartedMain] INFO  c.a.n.client.naming - [addBeatInfo,58] - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.204.1","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8081,"scheduled":false,"serviceName":"DEFAULT_GROUP@@com-dualwings-sales","stopped":false,"weight":1.0} to beat map.
